SPH2: Time: 50.000000, Points: 0.000000, Fuel Used: 15.991783
Time: 51.000000, Points: 0.000000, Fuel Used: 16.402580
Time: 52.000000, Points: 0.000000, Fuel Used: 17.144783
Time: 53.000000, Points: 0.000000, Fuel Used: 17.674675
Time: 54.000000, Points: 0.000000, Fuel Used: 18.132080
SPH1: Time: 50.000000, Points: 0.000000, Fuel Used: 26.793358
Time: 51.000000, Points: 0.000000, Fuel Used: 27.513115
Time: 52.000000, Points: 0.000000, Fuel Used: 28.069763
Time: 53.000000, Points: 0.000000, Fuel Used: 28.630730
Time: 54.000000, Points: 0.000000, Fuel Used: 29.005280
SPH2: Time: 55.000000, Points: 0.000000, Fuel Used: 18.525612
Time: 56.000000, Points: 0.000000, Fuel Used: 19.398994
Time: 57.000000, Points: 0.000000, Fuel Used: 19.871925
Time: 58.000000, Points: 0.000000, Fuel Used: 20.420807
Time: 59.000000, Points: 0.000000, Fuel Used: 20.812622
SPH1: Time: 55.000000, Points: 0.000000, Fuel Used: 29.305611
Time: 56.000000, Points: 0.000000, Fuel Used: 30.400787
Time: 57.000000, Points: 0.000000, Fuel Used: 30.890121
Time: 58.000000, Points: 0.000000, Fuel Used: 31.211166
Time: 59.000000, Points: 0.000000, Fuel Used: 31.418289
SPH2: Time: 60.000000, Points: 0.084455, Fuel Used: 21.306267
Time: 61.000000, Points: 0.158049, Fuel Used: 21.629036
Time: 62.000000, Points: 0.158049, Fuel Used: 22.348801
Time: 63.000000, Points: 0.240844, Fuel Used: 22.952911
Time: 64.000000, Points: 0.328127, Fuel Used: 23.451736
SPH1: Time: 60.000000, Points: 0.097723, Fuel Used: 31.508904
Time: 61.000000, Points: 0.196378, Fuel Used: 31.577087
Time: 62.000000, Points: 0.196378, Fuel Used: 32.577324
Time: 63.000000, Points: 0.295994, Fuel Used: 32.895782
Time: 64.000000, Points: 0.395954, Fuel Used: 33.157280
SPH2: Time: 65.000000, Points: 0.397409, Fuel Used: 23.817657
Time: 66.000000, Points: 0.474613, Fuel Used: 24.304405
Time: 67.000000, Points: 0.541861, Fuel Used: 24.523613
Time: 68.000000, Points: 0.541861, Fuel Used: 25.350388
Time: 69.000000, Points: 0.621578, Fuel Used: 25.850937
SPH1: Time: 65.000000, Points: 0.495640, Fuel Used: 33.315208
Time: 66.000000, Points: 0.595051, Fuel Used: 33.405830
Time: 67.000000, Points: 0.694155, Fuel Used: 33.452431
Time: 68.000000, Points: 0.694155, Fuel Used: 34.198944
Time: 69.000000, Points: 0.792964, Fuel Used: 34.544151
SPH2: Time: 70.000000, Points: 0.684282, Fuel Used: 26.241028
Time: 71.000000, Points: 0.739487, Fuel Used: 26.460236
Time: 72.000000, Points: 0.788558, Fuel Used: 26.641464
Time: 73.000000, Points: 0.827843, Fuel Used: 26.907280
Time: 74.000000, Points: 0.859730, Fuel Used: 27.123032
SPH1: Time: 70.000000, Points: 0.891724, Fuel Used: 34.797020
Time: 71.000000, Points: 0.990433, Fuel Used: 34.919563
Time: 72.000000, Points: 1.089153, Fuel Used: 35.021400
Time: 73.000000, Points: 1.187867, Fuel Used: 35.066277
Time: 74.000000, Points: 1.286580, Fuel Used: 35.083542
SPH2: Time: 75.000000, Points: 0.859730, Fuel Used: 27.563171
Time: 76.000000, Points: 0.888275, Fuel Used: 27.721970
Time: 77.000000, Points: 0.932119, Fuel Used: 28.327812
Time: 78.000000, Points: 0.989231, Fuel Used: 28.805923
Time: 79.000000, Points: 0.989231, Fuel Used: 29.662041
SPH1: Time: 75.000000, Points: 1.286580, Fuel Used: 35.518501
Time: 76.000000, Points: 1.385289, Fuel Used: 35.665215
Time: 77.000000, Points: 1.484037, Fuel Used: 35.753242
Time: 78.000000, Points: 1.582760, Fuel Used: 35.811066
Time: 79.000000, Points: 1.582760, Fuel Used: 36.546360
SPH2: Time: 80.000000, Points: 1.066407, Fuel Used: 30.105637
Time: 81.000000, Points: 1.134310, Fuel Used: 30.404236
Time: 82.000000, Points: 1.194478, Fuel Used: 30.652786
Time: 83.000000, Points: 1.248720, Fuel Used: 30.856461
Time: 84.000000, Points: 1.248720, Fuel Used: 31.628006
SPH1: Time: 80.000000, Points: 1.681320, Fuel Used: 36.895023
Time: 81.000000, Points: 1.779869, Fuel Used: 37.153927
Time: 82.000000, Points: 1.878336, Fuel Used: 37.277340
Time: 83.000000, Points: 1.976792, Fuel Used: 37.383492
Time: 84.000000, Points: 1.976792, Fuel Used: 38.180923
SPH2: Time: 85.000000, Points: 1.297597, Fuel Used: 31.992195
Time: 86.000000, Points: 1.336952, Fuel Used: 32.287354
Time: 87.000000, Points: 1.368713, Fuel Used: 32.528999
Time: 88.000000, Points: 1.415762, Fuel Used: 33.117577
Time: 89.000000, Points: 1.475811, Fuel Used: 33.606049
SPH1: Time: 85.000000, Points: 2.075421, Fuel Used: 38.477802
Time: 86.000000, Points: 2.174133, Fuel Used: 38.699600
Time: 87.000000, Points: 2.272789, Fuel Used: 38.842861
Time: 88.000000, Points: 2.371491, Fuel Used: 38.907589
Time: 89.000000, Points: 2.470202, Fuel Used: 38.955917
