http://www.zerorobotics.org/web/zero-robotics/zr-ide?p_p_id=ProjectEditingIDE_WAR_zeroroboticsportlet_INSTANCE_Vay1&p_p_lifecycle=0&p_p_state=exclusive&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_ProjectEditingIDE_WAR_zeroroboticsportlet_INSTANCE_Vay1_view=visualization&simulationId=9034&gameId=1

SPH1: Time: 0.000000, Points: 0.000000, Fuel Used: 0.000000
Time: 1.000000, Points: 0.000000, Fuel Used: 0.921707
Time: 2.000000, Points: 0.000000, Fuel Used: 1.845139
Time: 3.000000, Points: 0.000000, Fuel Used: 2.768570
Time: 4.000000, Points: 0.000000, Fuel Used: 3.690277
SPH1: Time: 5.000000, Points: 0.000000, Fuel Used: 4.613708
Time: 6.000000, Points: 0.000000, Fuel Used: 5.537148
Time: 7.000000, Points: 0.000000, Fuel Used: 6.462303
Time: 8.000000, Points: 0.000000, Fuel Used: 7.387459
Time: 9.000000, Points: 0.000000, Fuel Used: 8.316071
SPH1: Time: 10.000000, Points: 0.000000, Fuel Used: 9.249863
Time: 11.000000, Points: 0.000000, Fuel Used: 10.200912
Time: 12.000000, Points: 0.000000, Fuel Used: 10.413216
Time: 13.000000, Points: 0.000000, Fuel Used: 10.649681
Time: 14.000000, Points: 0.000000, Fuel Used: 11.165771
SPH1: Time: 15.000000, Points: 0.000000, Fuel Used: 11.838928
Time: 16.000000, Points: 0.000000, Fuel Used: 12.582848
Time: 17.000000, Points: 0.000000, Fuel Used: 13.342308
Time: 18.000000, Points: 0.000000, Fuel Used: 14.077606
Time: 19.000000, Points: 0.000000, Fuel Used: 14.761116
SPH1: Time: 20.000000, Points: 0.000000, Fuel Used: 15.394577
Time: 21.000000, Points: 0.000000, Fuel Used: 15.967621
Time: 22.000000, Points: 0.000000, Fuel Used: 16.480255
Time: 23.000000, Points: 0.000000, Fuel Used: 16.927299
Time: 24.000000, Points: 0.000000, Fuel Used: 17.320839
SPH1: Time: 25.000000, Points: 0.000000, Fuel Used: 17.664322
Time: 26.000000, Points: 0.000000, Fuel Used: 17.959473
Time: 27.000000, Points: 0.000000, Fuel Used: 18.209747
Time: 28.000000, Points: 0.000000, Fuel Used: 18.409973
Time: 29.000000, Points: 0.000000, Fuel Used: 18.601562
SPH1: Time: 30.000000, Points: 0.000000, Fuel Used: 18.753448
Time: 31.000000, Points: 0.000000, Fuel Used: 18.884628
Time: 32.000000, Points: 0.000000, Fuel Used: 19.000275
Time: 33.000000, Points: 0.000000, Fuel Used: 19.100388
Time: 34.000000, Points: 0.000000, Fuel Used: 19.184959
SPH1: Time: 35.000000, Points: 0.000000, Fuel Used: 19.259186
Time: 36.000000, Points: 0.000000, Fuel Used: 19.323044
Time: 37.000000, Points: 0.000000, Fuel Used: 19.378281
Time: 38.000000, Points: 0.000000, Fuel Used: 19.424881
Time: 39.000000, Points: 0.000000, Fuel Used: 19.464584
SPH1: Time: 40.000000, Points: 0.000000, Fuel Used: 19.499100
Time: 41.000000, Points: 0.000000, Fuel Used: 19.528442
Time: 42.000000, Points: 0.000000, Fuel Used: 19.554337
Time: 43.000000, Points: 0.000000, Fuel Used: 19.575050
Time: 44.000000, Points: 0.000000, Fuel Used: 19.594032
SPH1: Time: 45.000000, Points: 0.000000, Fuel Used: 19.611298
Time: 46.000000, Points: 0.000000, Fuel Used: 19.630280
Time: 47.000000, Points: 0.000000, Fuel Used: 19.630280
Time: 48.000000, Points: 0.000000, Fuel Used: 19.664803
