http://www.zerorobotics.org/web/zero-robotics/zr-ide?p_p_id=ProjectEditingIDE_WAR_zeroroboticsportlet_INSTANCE_Vay1&p_p_lifecycle=0&p_p_state=exclusive&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_ProjectEditingIDE_WAR_zeroroboticsportlet_INSTANCE_Vay1_view=visualization&simulationId=9035&gameId=1

SPH1: Time: 0.000000, Points: 0.000000, Fuel Used: 0.000000
Time: 1.000000, Points: 0.000000, Fuel Used: 0.921707
Time: 2.000000, Points: 0.000000, Fuel Used: 1.845139
Time: 3.000000, Points: 0.000000, Fuel Used: 2.770302
Time: 4.000000, Points: 0.000000, Fuel Used: 3.698906
SPH1: Time: 5.000000, Points: 0.000000, Fuel Used: 4.629250
Time: 6.000000, Points: 0.000000, Fuel Used: 5.563034
Time: 7.000000, Points: 0.000000, Fuel Used: 6.498550
Time: 8.000000, Points: 0.000000, Fuel Used: 7.439240
Time: 9.000000, Points: 0.000000, Fuel Used: 8.392021
SPH1: Time: 10.000000, Points: 0.000000, Fuel Used: 9.363777
Time: 11.000000, Points: 0.000000, Fuel Used: 10.299294
Time: 12.000000, Points: 0.000000, Fuel Used: 10.516777
Time: 13.000000, Points: 0.000000, Fuel Used: 10.761879
Time: 14.000000, Points: 0.000000, Fuel Used: 11.296951
SPH1: Time: 15.000000, Points: 0.000000, Fuel Used: 11.997719
Time: 16.000000, Points: 0.000000, Fuel Used: 12.783073
Time: 17.000000, Points: 0.000000, Fuel Used: 13.590858
Time: 18.000000, Points: 0.000000, Fuel Used: 14.383110
Time: 19.000000, Points: 0.000000, Fuel Used: 15.132217
SPH1: Time: 20.000000, Points: 0.000000, Fuel Used: 15.827812
Time: 21.000000, Points: 0.000000, Fuel Used: 16.464722
Time: 22.000000, Points: 0.000000, Fuel Used: 17.029137
Time: 23.000000, Points: 0.000000, Fuel Used: 17.529686
Time: 24.000000, Points: 0.000000, Fuel Used: 17.971558
SPH1: Time: 25.000000, Points: 0.000000, Fuel Used: 18.365089
Time: 26.000000, Points: 0.000000, Fuel Used: 18.708572
Time: 27.000000, Points: 0.000000, Fuel Used: 19.007179
Time: 28.000000, Points: 0.000000, Fuel Used: 19.264359
Time: 29.000000, Points: 0.000000, Fuel Used: 19.483566
SPH1: Time: 30.000000, Points: 0.000000, Fuel Used: 19.669983
Time: 31.000000, Points: 0.000000, Fuel Used: 19.827049
Time: 32.000000, Points: 0.000000, Fuel Used: 19.961685
Time: 33.000000, Points: 0.000000, Fuel Used: 20.060066
Time: 34.000000, Points: 0.000000, Fuel Used: 20.163628
SPH1: Time: 35.000000, Points: 0.000000, Fuel Used: 20.237846
Time: 36.000000, Points: 0.000000, Fuel Used: 20.301712
Time: 37.000000, Points: 0.000000, Fuel Used: 20.355217
Time: 38.000000, Points: 0.000000, Fuel Used: 20.401825
Time: 39.000000, Points: 0.000000, Fuel Used: 20.458778
SPH1: Time: 40.000000, Points: 0.000000, Fuel Used: 20.495026
Time: 41.000000, Points: 0.000000, Fuel Used: 20.524368
Time: 42.000000, Points: 0.000000, Fuel Used: 20.550262
Time: 43.000000, Points: 0.000000, Fuel Used: 20.572701
Time: 44.000000, Points: 0.000000, Fuel Used: 20.591690
SPH1: Time: 45.000000, Points: 0.000000, Fuel Used: 20.591690
Time: 46.000000, Points: 0.000000, Fuel Used: 20.610672
Time: 47.000000, Points: 0.000000, Fuel Used: 20.627937
Time: 48.000000, Points: 0.000000, Fuel Used: 20.627937
