http://www.zerorobotics.org/web/zero-robotics/zr-ide?p_p_id=ProjectEditingIDE_WAR_zeroroboticsportlet_INSTANCE_Vay1&p_p_lifecycle=0&p_p_state=exclusive&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_ProjectEditingIDE_WAR_zeroroboticsportlet_INSTANCE_Vay1_view=visualization&simulationId=9032&gameId=1

SPH1: Time: 0.000000, Points: 0.000000, Fuel Used: 0.000000
Time: 1.000000, Points: 0.000000, Fuel Used: 1.208229
Time: 2.000000, Points: 0.000000, Fuel Used: 2.423363
Time: 3.000000, Points: 0.000000, Fuel Used: 3.647125
Time: 4.000000, Points: 0.000000, Fuel Used: 4.513603
SPH1: Time: 5.000000, Points: 0.000000, Fuel Used: 5.065933
Time: 6.000000, Points: 0.000000, Fuel Used: 5.421501
Time: 7.000000, Points: 0.000000, Fuel Used: 5.651062
Time: 8.000000, Points: 0.000000, Fuel Used: 5.796051
Time: 9.000000, Points: 0.000000, Fuel Used: 5.890984
SPH1: Time: 10.000000, Points: 0.000000, Fuel Used: 5.953117
Time: 11.000000, Points: 0.000000, Fuel Used: 5.992821
Time: 12.000000, Points: 0.000000, Fuel Used: 5.992821
Time: 13.000000, Points: 0.000000, Fuel Used: 5.992821
Time: 14.000000, Points: 0.000000, Fuel Used: 5.992821
SPH1: Time: 15.000000, Points: 0.000000, Fuel Used: 5.992821
Time: 16.000000, Points: 0.000000, Fuel Used: 5.992821
Time: 17.000000, Points: 0.000000, Fuel Used: 5.992821
Time: 18.000000, Points: 0.000000, Fuel Used: 5.992821
Time: 19.000000, Points: 0.000000, Fuel Used: 5.992821
SPH1: Time: 20.000000, Points: 0.000000, Fuel Used: 5.992821
Time: 21.000000, Points: 0.000000, Fuel Used: 5.992821
Time: 22.000000, Points: 0.000000, Fuel Used: 5.992821
Time: 23.000000, Points: 0.000000, Fuel Used: 6.324219
Time: 24.000000, Points: 0.000000, Fuel Used: 7.157898
SPH1: Time: 25.000000, Points: 0.000000, Fuel Used: 7.278725
Time: 26.000000, Points: 0.000000, Fuel Used: 7.946701
Time: 27.000000, Points: 0.000000, Fuel Used: 8.695801
Time: 28.000000, Points: 0.000000, Fuel Used: 8.845970
Time: 29.000000, Points: 0.000000, Fuel Used: 8.952980
SPH1: Time: 30.000000, Points: 0.000000, Fuel Used: 9.044464
Time: 31.000000, Points: 0.000000, Fuel Used: 9.721069
Time: 32.000000, Points: 0.000000, Fuel Used: 9.904030
Time: 33.000000, Points: 0.000000, Fuel Used: 10.321732
Time: 34.000000, Points: 0.000000, Fuel Used: 10.534035
SPH1: Time: 35.000000, Points: 0.000000, Fuel Used: 10.687653
Time: 36.000000, Points: 0.000000, Fuel Used: 10.813660
Time: 37.000000, Points: 0.000000, Fuel Used: 10.944839
Time: 38.000000, Points: 0.000000, Fuel Used: 11.074287
Time: 39.000000, Points: 0.000000, Fuel Used: 11.207191
SPH1: Time: 40.000000, Points: 0.000000, Fuel Used: 11.842377
Time: 41.000000, Points: 0.000000, Fuel Used: 12.073669
Time: 42.000000, Points: 0.000000, Fuel Used: 12.479286
Time: 43.000000, Points: 0.000000, Fuel Used: 12.928055
Time: 44.000000, Points: 0.000000, Fuel Used: 13.178337
SPH1: Time: 45.000000, Points: 0.000000, Fuel Used: 13.577049
Time: 46.000000, Points: 0.000000, Fuel Used: 13.917084
Time: 47.000000, Points: 0.000000, Fuel Used: 14.210510
Time: 48.000000, Points: 0.000000, Fuel Used: 14.635117
Time: 49.000000, Points: 0.000000, Fuel Used: 14.995857
SPH1: Time: 50.000000, Points: 0.000000, Fuel Used: 15.304817
Time: 51.000000, Points: 0.000000, Fuel Used: 15.625862
Time: 52.000000, Points: 0.000000, Fuel Used: 15.883041
Time: 53.000000, Points: 0.000000, Fuel Used: 16.285210
Time: 54.000000, Points: 0.000000, Fuel Used: 16.728806
SPH1: Time: 55.000000, Points: 0.000000, Fuel Used: 17.149956
Time: 56.000000, Points: 0.000000, Fuel Used: 17.493439
Time: 57.000000, Points: 0.000000, Fuel Used: 18.004349
Time: 58.000000, Points: 0.000000, Fuel Used: 18.263252
Time: 59.000000, Points: 0.000000, Fuel Used: 18.634354
SPH1: Time: 60.000000, Points: 0.033873, Fuel Used: 18.784523
Time: 61.000000, Points: 0.061792, Fuel Used: 19.062416
Time: 62.000000, Points: 0.102191, Fuel Used: 19.594032
Time: 63.000000, Points: 0.135665, Fuel Used: 19.928886
Time: 64.000000, Points: 0.163277, Fuel Used: 20.203331
SPH1: Time: 65.000000, Points: 0.203938, Fuel Used: 20.707329
Time: 66.000000, Points: 0.237458, Fuel Used: 21.031830
Time: 67.000000, Points: 0.265180, Fuel Used: 21.294189
Time: 68.000000, Points: 0.306600, Fuel Used: 21.760216
Time: 69.000000, Points: 0.344345, Fuel Used: 21.938004
SPH1: Time: 70.000000, Points: 0.394191, Fuel Used: 22.288383
Time: 71.000000, Points: 0.434799, Fuel Used: 22.635323
Time: 72.000000, Points: 0.487917, Fuel Used: 22.997787
Time: 73.000000, Points: 0.534974, Fuel Used: 23.229080
Time: 74.000000, Points: 0.593208, Fuel Used: 23.603630
SPH1: Time: 75.000000, Points: 0.655979, Fuel Used: 23.935028
Time: 76.000000, Points: 0.709489, Fuel Used: 24.295776
Time: 77.000000, Points: 0.772332, Fuel Used: 24.699669
Time: 78.000000, Points: 0.822329, Fuel Used: 25.055237
Time: 79.000000, Points: 0.861639, Fuel Used: 25.341759
SPH1: Time: 80.000000, Points: 0.912658, Fuel Used: 25.861298
Time: 81.000000, Points: 0.957512, Fuel Used: 26.028725
Time: 82.000000, Points: 1.013312, Fuel Used: 26.508560
Time: 83.000000, Points: 1.062178, Fuel Used: 26.738121
Time: 84.000000, Points: 1.121026, Fuel Used: 27.183441
SPH1: Time: 85.000000, Points: 1.168877, Fuel Used: 27.606323
Time: 86.000000, Points: 1.227236, Fuel Used: 28.048195
Time: 87.000000, Points: 1.278777, Fuel Used: 28.320908
Time: 88.000000, Points: 1.324329, Fuel Used: 28.547020
Time: 89.000000, Points: 1.364988, Fuel Used: 28.733429
SPH1: Time: 90.000000, Points: 1.417932, Fuel Used: 29.177025
Time: 91.000000, Points: 1.461226, Fuel Used: 29.561928
Time: 92.000000, Points: 1.496437, Fuel Used: 29.876068
Time: 93.000000, Points: 1.528797, Fuel Used: 29.996895
Time: 94.000000, Points: 1.575833, Fuel Used: 30.423225
SPH1: Time: 95.000000, Points: 1.634650, Fuel Used: 30.747719
Time: 96.000000, Points: 1.695947, Fuel Used: 31.060135
Time: 97.000000, Points: 1.755535, Fuel Used: 31.370827
Time: 98.000000, Points: 1.803124, Fuel Used: 31.724663
Time: 99.000000, Points: 1.841435, Fuel Used: 32.004280
SPH1: Time: 100.000000, Points: 1.871926, Fuel Used: 32.228668
Time: 101.000000, Points: 1.896113, Fuel Used: 32.408173
Time: 102.000000, Points: 1.935324, Fuel Used: 33.010567
Time: 103.000000, Points: 1.966489, Fuel Used: 33.234947
Time: 104.000000, Points: 2.010990, Fuel Used: 33.797638
SPH1: Time: 105.000000, Points: 2.047030, Fuel Used: 34.084160
Time: 106.000000, Points: 2.109697, Fuel Used: 34.983429
Time: 107.000000, Points: 2.163656, Fuel Used: 35.235435
Time: 108.000000, Points: 2.206709, Fuel Used: 35.594452
Time: 109.000000, Points: 2.260788, Fuel Used: 36.088097
SPH1: Time: 110.000000, Points: 2.324396, Fuel Used: 36.481636
Time: 111.000000, Points: 2.376191, Fuel Used: 36.945942
Time: 112.000000, Points: 2.438312, Fuel Used: 37.322216
Time: 113.000000, Points: 2.492611, Fuel Used: 37.629452
Time: 114.000000, Points: 2.536454, Fuel Used: 38.021263
SPH1: Time: 115.000000, Points: 2.592896, Fuel Used: 38.376831
Time: 116.000000, Points: 2.638458, Fuel Used: 38.763462
Time: 117.000000, Points: 2.695701, Fuel Used: 39.146645
Time: 118.000000, Points: 2.745955, Fuel Used: 39.400372
Time: 119.000000, Points: 2.807345, Fuel Used: 39.800816
SPH1: Time: 120.000000, Points: 2.866747, Fuel Used: 40.158104
Time: 121.000000, Points: 2.923195, Fuel Used: 40.518848
Time: 122.000000, Points: 2.987269, Fuel Used: 40.934826
Time: 123.000000, Points: 3.039667, Fuel Used: 41.312828
Time: 124.000000, Points: 3.101639, Fuel Used: 41.763325
SPH1: Time: 125.000000, Points: 3.161505, Fuel Used: 42.141327
Time: 126.000000, Points: 3.218146, Fuel Used: 42.612537
Time: 127.000000, Points: 3.282310, Fuel Used: 43.014706
Time: 128.000000, Points: 3.335856, Fuel Used: 43.479012
Time: 129.000000, Points: 3.399475, Fuel Used: 43.872547
SPH1: Time: 130.000000, Points: 3.455161, Fuel Used: 44.181511
Time: 131.000000, Points: 3.504267, Fuel Used: 44.436966
Time: 132.000000, Points: 3.547963, Fuel Used: 44.649269
Time: 133.000000, Points: 3.587267, Fuel Used: 44.825325
Time: 134.000000, Points: 3.619080, Fuel Used: 45.104942
SPH1: Time: 135.000000, Points: 3.665101, Fuel Used: 45.515743
Time: 136.000000, Points: 3.723353, Fuel Used: 45.869579
Time: 137.000000, Points: 3.770952, Fuel Used: 46.232048
Time: 138.000000, Points: 3.830353, Fuel Used: 46.629040
Time: 139.000000, Points: 3.891185, Fuel Used: 46.982876
SPH1: Time: 140.000000, Points: 3.947015, Fuel Used: 47.333263
Time: 141.000000, Points: 3.998507, Fuel Used: 48.534592
Time: 142.000000, Points: 4.035811, Fuel Used: 49.734188
Time: 143.000000, Points: 4.070805, Fuel Used: 50.947598
Time: 144.000000, Points: 4.112059, Fuel Used: 52.185169
SPH1: Time: 145.000000, Points: 4.168119, Fuel Used: 52.991230
Time: 146.000000, Points: 4.225892, Fuel Used: 53.272575
Time: 147.000000, Points: 4.270242, Fuel Used: 53.412388
Time: 148.000000, Points: 4.304269, Fuel Used: 53.710991
Time: 149.000000, Points: 4.330402, Fuel Used: 54.137325
SPH1: Time: 150.000000, Points: 4.350951, Fuel Used: 54.627522
Time: 151.000000, Points: 4.367024, Fuel Used: 55.145332
Time: 152.000000, Points: 4.367024, Fuel Used: 55.656242
Time: 153.000000, Points: 4.367024, Fuel Used: 56.141258
Time: 154.000000, Points: 4.367024, Fuel Used: 56.590031
SPH1: Time: 155.000000, Points: 4.367024, Fuel Used: 57.004280
Time: 156.000000, Points: 4.367024, Fuel Used: 57.377106
Time: 157.000000, Points: 4.367024, Fuel Used: 57.708508
Time: 158.000000, Points: 4.367024, Fuel Used: 57.998482
Time: 159.000000, Points: 4.367024, Fuel Used: 58.247032
SPH1: Time: 160.000000, Points: 4.367024, Fuel Used: 58.459335
Time: 161.000000, Points: 4.367024, Fuel Used: 58.644020
Time: 162.000000, Points: 4.367024, Fuel Used: 58.802818
Time: 163.000000, Points: 4.367024, Fuel Used: 58.920189
Time: 164.000000, Points: 4.367024, Fuel Used: 59.039284
SPH1: Time: 165.000000, Points: 4.367024, Fuel Used: 59.127312
Time: 166.000000, Points: 4.367024, Fuel Used: 59.203259
Time: 167.000000, Points: 4.367024, Fuel Used: 59.268848
Time: 168.000000, Points: 4.367024, Fuel Used: 59.324081
Time: 169.000000, Points: 4.367024, Fuel Used: 59.372410
SPH1: Time: 170.000000, Points: 4.367024, Fuel Used: 59.413837
Time: 171.000000, Points: 7.367024, Fuel Used: 59.448357
Time: 172.000000, Points: 7.367024, Fuel Used: 59.479427
Time: 173.000000, Points: 7.367024, Fuel Used: 59.505318
Time: 174.000000, Points: 7.367024, Fuel Used: 59.527756
SPH1: Time: 175.000000, Points: 7.367024, Fuel Used: 59.548466
Time: 176.000000, Points: 7.367024, Fuel Used: 59.565727
Time: 177.000000, Points: 7.367024, Fuel Used: 59.565727
Time: 178.000000, Points: 7.367024, Fuel Used: 59.584713
Time: 179.000000, Points: 7.367024, Fuel Used: 59.584713
