time, current_radius, angularVelocity, angleTarget
95.000000, 0.253896, 0.067404, 6.675886, 4.496810
96.000000, 0.253576, 0.067211, 6.675886, 4.544947
97.000000, 0.253202, 0.067372, 6.675886, 4.593199
98.000000, 0.252972, 0.067530, 6.675886, 4.641564
99.000000, 0.252978, 0.066808, 7.068585, 4.689412
100.000000, 0.253160, 0.067104, 7.068585, 4.737471
101.000000, 0.252874, 0.065866, 7.068585, 4.784645
102.000000, 0.252296, 0.066206, 7.068585, 4.832061
103.000000, 0.251692, 0.065975, 7.068585, 4.879312
104.000000, 0.251303, 0.065255, 7.068585, 4.926047
105.000000, 0.251184, 0.065480, 7.461285, 4.972944
106.000000, 0.251438, 0.065032, 7.461285, 5.019520
107.000000, 0.251104, 0.065434, 7.461285, 5.066384
108.000000, 0.250489, 0.066161, 7.461285, 5.113768
109.000000, 0.249934, 0.066171, 7.461285, 5.161160
110.000000, 0.249633, 0.066284, 7.461285, 5.208632
111.000000, 0.249753, 0.066428, 7.853984, 5.256207
112.000000, 0.250382, 0.067595, 7.853984, 5.304618
113.000000, 0.250511, 0.066991, 7.853984, 5.352597
114.000000, 0.250290, 0.066796, 7.853984, 5.400436
115.000000, 0.250036, 0.066802, 7.853984, 5.448280
116.000000, 0.250045, 0.067671, 7.853984, 5.496745
117.000000, 0.250398, 0.067433, 8.246683, 5.545041
118.000000, 0.251121, 0.067220, 8.246683, 5.593184
119.000000, 0.251331, 0.068238, 8.246683, 5.642056
120.000000, 0.251296, 0.069369, 8.246683, 5.691737
